blob_name_in_metadata	lucene_file	length_on_the_live_node	object_in_bucket	object_bytes
__27_yjuX2QPyUrE-2VlGx9A	_0.cfe	742	yes	742
__2cCGkm5uQf6Tw1qQ96W_ow	_0.cfe	742	yes	742
__6HfSS9VGSUy_86kMSv-_Kw	_0.cfs	486768	yes	486768
__ocOz3nmvQoCISRh0va80RA	_0.cfs	486768	yes	486768
v__DDjFUYgeRdiLYVSDObhgag	_0.si	351	no	-
v__cfvLKCsDReqEFvGksxOg2w	_0.si	351	no	-
__R1fKKxcwSd6OcfgtNcl99w	_1.cfe	-	yes	742
__qBc58MdXQ2KxZm_FZECRfQ	_1.cfs	-	yes	24544
v__2W-2rSgiSji5SC5k1A36Vw	_1.si	-	no	-
v__FVoW2jpgRtGhrhCG308elQ	segments_3	-	no	-
v__vNoVn4CMQ9m32RQ_lQUpAA	segments_3	-	no	-
v__5-AMsSzAQ7WXAZ9h6GAMYg	segments_4	-	no	-
