key	size_bytes	created	last_modified	last_accessed	reason
index-0	1693	2026-08-24T19:50:50.939931+00:00	2026-08-24T19:50:50.939931+00:00	2026-08-24T19:50:50.939931+00:00	stale root generation
meta-Hrv33udFQNSFJK1cLTdQVA.dat	38805	2026-08-24T19:50:50.973520+00:00	2026-08-24T19:50:50.973520+00:00	2026-08-24T19:50:50.973520+00:00	root meta-<uuid> vs live snapshots
snap-Hrv33udFQNSFJK1cLTdQVA.dat	468	2026-08-24T19:50:50.973520+00:00	2026-08-24T19:50:50.973520+00:00	2026-08-24T19:50:50.973520+00:00	root snap-<uuid> vs live snapshots
index-1	2334	2026-08-24T19:50:50.935732+00:00	2026-08-24T19:50:50.935732+00:00	2026-08-24T19:50:50.931534+00:00	stale root generation
indices/BtIUzj_XSz-Ygq0AfcOMIg/0/index-gw8nXlCFQ0eFJcIT1StZsw	1236	2026-08-24T19:50:50.948328+00:00	2026-08-24T19:50:50.948328+00:00	2026-08-24T19:50:50.948328+00:00	shard index-<gen> vs current gen
indices/BtIUzj_XSz-Ygq0AfcOMIg/0/index-rBUHMFb9T9WUFmqasJEx2Q	1230	2026-08-24T19:50:50.948328+00:00	2026-08-24T19:50:50.948328+00:00	2026-08-24T19:50:50.948328+00:00	shard index-<gen> vs current gen
indices/BtIUzj_XSz-Ygq0AfcOMIg/0/snap-Hrv33udFQNSFJK1cLTdQVA.dat	871	2026-08-24T19:50:50.952527+00:00	2026-08-24T19:50:50.948328+00:00	2026-08-24T19:50:50.948328+00:00	shard snap-<uuid> vs live snapshots
indices/BtIUzj_XSz-Ygq0AfcOMIg/0/__hbLf4fSvQoCGDy6kH-Q0LA	742	2026-08-24T19:50:50.948328+00:00	2026-08-24T19:50:50.948328+00:00	2026-08-24T19:50:50.948328+00:00	segment vs current shard file set
indices/BtIUzj_XSz-Ygq0AfcOMIg/0/index-aY9-HJY-TcK9bw81coxYpQ	861	2026-08-24T19:50:50.952527+00:00	2026-08-24T19:50:50.952527+00:00	2026-08-24T19:50:50.952527+00:00	shard index-<gen> vs current gen
indices/BtIUzj_XSz-Ygq0AfcOMIg/0/__BmG7ZoTQT6WkC5r4tx1zeg	157511	2026-08-24T19:50:50.952527+00:00	2026-08-24T19:50:50.952527+00:00	2026-08-24T19:50:50.952527+00:00	segment vs current shard file set
indices/uWYEV8XgTRq9NPAtuedM9Q/0/index-zpLksOM6RD2ThXq8X7Gl7A	868	2026-08-24T19:50:50.969322+00:00	2026-08-24T19:50:50.969322+00:00	2026-08-24T19:50:50.969322+00:00	shard index-<gen> vs current gen
