key	size_bytes	created	last_modified	last_accessed	first_seen_in_logs	last_seen_in_logs	source	note
index-2	-	-	-	-	2026-08-24T20:51:58.583000+00:00	2026-08-24T21:33:19.467000+00:00	sdk-exception,stale-root	-
index-3	-	-	-	-	2026-08-24T20:51:58.609000+00:00	2026-08-24T21:33:19.467000+00:00	sdk-exception,stale-root	-
index-4	-	-	-	-	2026-08-24T21:04:41.318000+00:00	2026-08-24T21:33:19.467000+00:00	sdk-exception,stale-root	-
index-5	-	-	-	-	2026-08-24T21:04:44.628000+00:00	2026-08-24T21:33:19.467000+00:00	sdk-exception,stale-root	-
index-6	-	-	-	-	2026-08-24T21:33:15.059000+00:00	2026-08-24T21:33:19.467000+00:00	sdk-exception,stale-root	-
index-7	-	-	-	-	2026-08-24T21:33:17.253000+00:00	2026-08-24T21:33:19.467000+00:00	sdk-exception,stale-root	-
indices/-6gHKxGPT_-EZY3_ShXJEg/0/__0dkExkwySPmPT2cmnFgyCg	-	-	-	-	2026-08-24T21:33:17.257000+00:00	2026-08-24T21:33:19.471000+00:00	sdk-exception	-
indices/-6gHKxGPT_-EZY3_ShXJEg/0/__ScLvAcH2Si2QMN1a_A6HMQ	-	-	-	-	2026-08-24T21:33:17.257000+00:00	2026-08-24T21:33:19.471000+00:00	sdk-exception	-
indices/-6gHKxGPT_-EZY3_ShXJEg/0/index-5-eGzXmZSEymyZgowVVf7w	-	-	-	-	2026-08-24T20:51:58.609000+00:00	2026-08-24T21:33:19.471000+00:00	sdk-exception	-
indices/-6gHKxGPT_-EZY3_ShXJEg/0/index-YOZtMlV8R4upAV-HmbcSzw	-	-	-	-	2026-08-24T21:33:17.257000+00:00	2026-08-24T21:33:19.471000+00:00	sdk-exception	-
indices/-6gHKxGPT_-EZY3_ShXJEg/0/snap-Akwm7mJyTw-vZoEtd13mRw.dat	-	-	-	-	2026-08-24T21:33:17.257000+00:00	2026-08-24T21:33:19.471000+00:00	sdk-exception	-
