cycle	utc	manifest_keys	deleted	failed	absent	obj_before	obj_after	exit
1	2026-08-26T13:31:22Z	92865	0	0	0	354554	263005	0
2	2026-08-26T13:35:41Z	4665	0	0	0	273448	268784	0
3	2026-08-26T13:38:50Z	2337	0	0	0	276436	274152	0
4	2026-08-26T13:41:22Z	2475	0	0	0	281207	278809	0
5	2026-08-26T13:44:00Z	1967	0	0	0	285661	284258	0
6	2026-08-26T13:47:13Z	1963	0	0	0	293999	292037	0
7	2026-08-26T13:52:06Z	2957	0	0	0	308365	305409	0
8	2026-08-26T13:57:43Z	4553	0	0	0	325027	320475	0
9	2026-08-26T14:03:36Z	5565	0	0	0	341947	337353	0
10	2026-08-26T14:11:17Z	7131	0	0	0	368365	361586	0
11	2026-08-26T14:20:10Z	8795	0	0	0	399668	392311	0
12	2026-08-26T14:39:29Z	11539	0	0	0	459624	466715	0
1	2026-08-26T15:38:15Z	61987	61986	0	0	612610	557899	0
