cycle	utc	manifest	deleted	failed	unconfirmed	obj_before	obj_after	reclaimable	exit
1	2026-08-26T19:34:11Z	30851	30849	0	0	193022	164235	53.47 MB across 30849 orphaned objects (	0
2	2026-08-26T19:36:34Z	2	0	0	0	164770	164804	0 B across 0 orphaned objects (0 bytes)	0
3	2026-08-26T19:37:14Z	2	0	0	0	165237	165237	0 B across 0 orphaned objects (0 bytes)	0
4	2026-08-26T19:37:56Z	2	0	0	0	165796	166297	0 B across 0 orphaned objects (0 bytes)	0
5	2026-08-26T19:38:37Z	2	0	0	0	166820	166820	0 B across 0 orphaned objects (0 bytes)	0
6	2026-08-26T19:39:16Z	96	94	0	0	167353	167287	113.57 KB across 94 orphaned objects (11	0
7	2026-08-26T19:39:57Z	159	157	0	0	168050	168322	252.87 KB across 157 orphaned objects (2	0
8	2026-08-26T19:40:41Z	2	0	0	0	168801	168801	0 B across 0 orphaned objects (0 bytes)	0
9	2026-08-26T19:41:22Z	216	214	0	0	169446	169696	333.46 KB across 214 orphaned objects (3	0
10	2026-08-26T19:42:04Z	222	220	0	0	170251	170089	317.06 KB across 220 orphaned objects (3	0
